Component Name,File Path,Type,Complexity,Dependencies,Lines of Code,Migration Effort,Notes
KanbanBoard,src/components/kanban/KanbanBoard.tsx,Layout,High,@dnd-kit/sortable zustand,541,16-20 hours,Core functionality - drag-drop migration critical
MatterCard,src/components/kanban/MatterCard.tsx,Feature,Medium,@dnd-kit/core framer-motion,TBD,8-12 hours,Drag-drop + animations migration
KanbanColumn,src/components/kanban/KanbanColumn.tsx,Layout,Medium,@dnd-kit/sortable,TBD,6-10 hours,Column management and drop zones
KanbanBoardMobile,src/components/kanban/KanbanBoardMobile.tsx,Layout,High,@dnd-kit/core touch-gestures,539,12-16 hours,Touch gesture handling critical
VirtualizedBoard,src/components/kanban/VirtualizedBoard.tsx,Performance,High,@tanstack/react-virtual,396,16-20 hours,Performance optimization migration
FilterBar,src/components/search/FilterBar.tsx,Feature,Medium,react-hook-form zod,TBD,8-12 hours,Advanced filtering with URL persistence
SearchInput,src/components/search/SearchInput.tsx,UI,Simple,lucide-react,TBD,2-4 hours,Basic search input
MatterFormFields,src/components/forms/matter/MatterFormFields.tsx,Feature,High,react-hook-form zod,392,12-16 hours,Complex form validation patterns
CreateMatterForm,src/components/forms/matter/CreateMatterForm.tsx,Feature,Medium,react-hook-form zod,TBD,8-12 hours,Form handling migration
EditMatterForm,src/components/forms/matter/EditMatterForm.tsx,Feature,Medium,react-hook-form zod,TBD,8-12 hours,Form handling migration
MultiStepForm,src/components/forms/multi-step-form.tsx,Feature,High,react-hook-form,TBD,12-16 hours,Complex form wizard pattern
FieldArray,src/components/forms/field-array.tsx,Feature,Medium,react-hook-form,TBD,6-10 hours,Dynamic form fields
ConditionalField,src/components/forms/conditional-field.tsx,Feature,Medium,react-hook-form,TBD,6-10 hours,Conditional form logic
DocumentUploadForm,src/components/forms/examples/document-upload-form.tsx,Feature,Medium,react-hook-form,TBD,8-12 hours,File upload handling
MatterCreationMultiStep,src/components/forms/examples/matter-creation-multi-step.tsx,Feature,High,react-hook-form,TBD,12-16 hours,Complex multi-step form example
FieldError,src/components/forms/FieldError.tsx,UI,Simple,lucide-react,TBD,2-4 hours,Form error display
AuditTimeline,src/components/audit/AuditTimeline.tsx,Feature,Medium,date-fns,TBD,8-12 hours,Timeline component
AuditEventCard,src/components/audit/AuditEventCard.tsx,UI,Medium,lucide-react,TBD,4-8 hours,Event display card
AuditFilters,src/components/audit/AuditFilters.tsx,Feature,Medium,react-hook-form,TBD,6-10 hours,Audit filtering
StatusConfirmationDialog,src/components/dialogs/StatusConfirmationDialog.tsx,UI,Medium,@radix-ui/react-alert-dialog,TBD,6-10 hours,Dialog migration to radix-vue
ErrorBoundary,src/components/error/ErrorBoundary.tsx,Utility,Medium,react,TBD,6-10 hours,Error handling migration
OfflineDetector,src/components/error/OfflineDetector.tsx,Utility,Medium,navigator,TBD,4-8 hours,Network state detection
LibraryIntegrationExample,src/components/examples/library-integration-example.tsx,Example,High,multiple-libraries,TBD,12-16 hours,Integration example patterns
Button,src/components/ui/button.tsx,UI,Simple,class-variance-authority,TBD,2-4 hours,shadcn/ui to shadcn-vue
Alert,src/components/ui/alert.tsx,UI,Simple,lucide-react,TBD,2-4 hours,shadcn/ui to shadcn-vue
Calendar,src/components/ui/calendar.tsx,UI,Medium,react-day-picker,TBD,6-10 hours,Date picker migration
DatePicker,src/components/ui/date-picker.tsx,UI,Medium,react-day-picker,TBD,6-10 hours,Date picker component
Popover,src/components/ui/popover.tsx,UI,Medium,@radix-ui/react-popover,TBD,4-8 hours,shadcn/ui to shadcn-vue
Progress,src/components/ui/progress.tsx,UI,Simple,@radix-ui/react-progress,TBD,2-4 hours,shadcn/ui to shadcn-vue
ProgressiveLoader,src/components/ui/progressive-loader.tsx,UI,Medium,framer-motion,TBD,6-10 hours,Loading animation migration
Skeleton,src/components/ui/skeleton/EnhancedSkeleton.tsx,UI,Medium,class-variance-authority,TBD,4-8 hours,Enhanced skeleton component
Tabs,src/components/ui/tabs.tsx,UI,Medium,@radix-ui/react-tabs,TBD,4-8 hours,shadcn/ui to shadcn-vue
Textarea,src/components/ui/textarea.tsx,UI,Simple,class-variance-authority,TBD,2-4 hours,shadcn/ui to shadcn-vue
LazyComponent,src/components/lazy/LazyComponent.tsx,Utility,Simple,react,TBD,2-4 hours,React.lazy to Vue async components
AuthProvider,src/components/providers/AuthProvider.tsx,Provider,High,react-context,TBD,12-16 hours,Context to provide/inject migration
ThemeProvider,src/components/providers/ThemeProvider.tsx,Provider,Medium,react-context,TBD,6-10 hours,Theme provider migration